level_id	prereq	image	sound	arabic
sounds			a	ا
sounds			a2	أ
sounds			e	إ
sounds			b	ب
sounds			t	ت
sounds			th	ث
sounds			j	ج
sounds			7h	ح
sounds			kh	خ
sounds			d	د
sounds			dh	ذ
sounds			r	ر
sounds			z	ز
sounds			s	س
sounds			sh	ش
sounds			ss	ص
sounds			dd	ض
sounds			tt	ط
sounds			ddh	ظ
sounds			3a	ع
sounds			gh	غ
sounds			f	ف
sounds			q	ق
sounds			k	ك
sounds			l	ل
sounds			m	م
sounds			n	ن
sounds			h	ه
sounds			w	و
sounds			y	ي
sounds			a_	ى
sounds			2o	ؤ
sounds			2e	ئ
sounds			2a	ء
letters_0_			alef	ا % ـا
letters_0_			baa2	ب % بـ % ـبـ % ـب
letters_0_			taa2	ت %تـ % ـتـ % ـت
letters_0_			thaa2	ث % ثـ % ـثـ % ـث
letters_0_			jeem	ج % جـ % ـجـ % ـج
letters_0_			7aa2	ح % حـ % ـحـ % ـح
letters_0_			khaa2	خ % خـ % ـخـ % ـخ
letters_1_	letters_0_		daal	د % ـد
letters_1_			dhaal	ذ % ـذ
letters_1_			raa2	ر % ـر
letters_1_			zaay	ز % ـز
letters_1_			seen	س % سـ % ـسـ % ـس
letters_1_			sheen	ش % شـ % ـشـ % ـش
letters_1_			ssaad	ص % صـ % ـصـ % ـص
letters_1_			daad	ض % ضـ % ـضـ % ـض
letters_2_	letters_1_		taa2	ط % طـ % ـطـ % ـط
letters_2_			dhaa2	ظ % ظـ % ـظـ % ـظ
letters_2_			3ayn	ع % عـ % ـعـ % ـع
letters_2_			ghayn	غ % غـ % ـغـ % ـغ
letters_2_			faa2	ف % فـ % ـفـ % ـف
letters_2_			qaaf	ق % قـ % ـقـ % ـق
letters_2_			kaaf	ك % كـ % ـكـ % ـك
letters_2_			laam	ل % لـ % ـلـ % ـل
letters_3_	letters_2_		meem	م % مـ % ـمـ % ـم
letters_3_			noon	ن % نـ % ـنـ % ـن
letters_3_			haa2	ه % هـ % ـهـ % ـه
letters_3_			waaw	و % ـو
letters_3_			yaa2	ي % يـ % ـيـ % ـي
letters_4_	letters_3_		laam_alef	لا % ـلا
letters_4_			hamza	ء
letters_4_			hamza_nabra	ئ % ئـ % ـئـ % ـئ
letters_4_			hamza_waw	ؤ % ـؤ
letters_4_			taa2_marbootah	ة % ـة
letters_4_			alef_layyenah	ى % ـى
letters_4_			alef_hamza_a	أ % ـأ 
letters_4_			alef_hamza_e	إ % ـإ
		0.png	sifr	صفر
		1.png	waa7id	واحد
		10.png	3asharah	عشرة
		100.png	maa2ah	مائة
		2.png	ithnaan	اثنان
		3.png	thalaathah	ثلاثة
		4.png	arba3ah	اربعة
		5.png	khamsah	خمسة
		6.png	sittah	ستة
		7.png	sab3ah	سبعة
		8.png	thamaaniyah	ثمانية
		9.png	tis3ah	تسعة
		airplane.png	taa2irah	طائرة
		ambulance.png	sayyaarat-is3aaf	سيارة إسعاف
		animal.png	7ayawaan	حيوان
		ant.png	namlah	نملة
		apple.png	toffaa7ah	تفاحة
		avocado.png	avocado	أفوكادو
		bag.png	7aqeebah	حقيبة
		ball.png	korah	كرة
		bank.png	masraf	مصرف
		bat.png	witwaat	وطواط
		bathtub.png	7awd-isti7maam	حوض استحمام
		beach.png	shaati2	شاطئ
		bear.png	dobb	دب
		bed.png	sareer	سرير
		bee.png	na7lah	نحلة
		beetle.png	khonfosaa2	خنفساء
		bell.png	jaras	جرس
		bicycle.png	darraajah	دراجة
		bird.png	taa2ir	طائر
		black.png	aswad	أسود
		blue.png	azraq	أزرق
		book.png	kitaab	كتاب
		box.png	sundooq	صندوق
		boy.png	walad	ولد
		bread.png	khubz	خبز
		bride.png	3aroos	عروس
		building.png	mabna	مبنى
		bus.png	7aafilah	حافلة
		cactus.png	sabbaar	صبار
		camel.png	jamal	جمل
		camera.png	aalat tasweer	آلة تصوير
		candle.png	sham3ah	شمعة
		candy.png	7alwaa	حلوى
		car.png	sayyaarah	سيارة
		carrot.png	jazarah	جزرة
		castle.png	qal3ah	قلعة
		cat.png	qittah	قطة
